movieId,genre
1,Adventure
1,Animation
1,Children
1,Comedy
1,Fantasy
2,Adventure
2,Children
2,Fantasy
3,Comedy
3,Romance
5,Comedy
6,Action
6,Crime
6,Thriller
7,Comedy
7,Romance
8,Adventure
8,Children
9,Action
10,Action
10,Adventure
10,Thriller
11,Comedy
11,Drama
11,Romance
12,Comedy
12,Horror
14,Drama
15,Action
15,Adventure
15,Romance
16,Crime
16,Drama
17,Drama
17,Romance
18,Comedy
19,Comedy
21,Comedy
21,Crime
21,Thriller
22,Crime
22,Drama
22,Horror
22,Mystery
22,Thriller
23,Action
23,Crime
23,Thriller
24,Drama
24,Sci-Fi
25,Drama
25,Romance
27,Children
27,Drama
28,Drama
28,Romance
29,Adventure
29,Drama
29,Fantasy
29,Mystery
29,Sci-Fi
31,Drama
32,Mystery
32,Sci-Fi
32,Thriller
34,Children
34,Drama
36,Crime
36,Drama
39,Comedy
39,Romance
40,Drama
41,Drama
41,War
44,Action
44,Adventure
44,Fantasy
45,Comedy
45,Drama
45,Thriller
46,Drama
46,Romance
47,Mystery
47,Thriller
48,Animation
48,Children
48,Drama
48,Musical
48,Romance
50,Crime
50,Mystery
50,Thriller
52,Comedy
52,Drama
52,Romance
53,Adventure
53,Drama
57,Drama
58,Comedy
58,Drama
58,Romance
60,Adventure
60,Children
60,Fantasy
61,Drama
61,Thriller
62,Drama
65,Comedy
68,Comedy
68,Romance
69,Comedy
70,Action
70,Comedy
70,Horror
70,Thriller
74,Drama
74,Romance
76,Action
76,Sci-Fi
76,Thriller
79,Drama
79,Thriller
81,Crime
81,Drama
81,Romance
82,Comedy
82,Drama
85,Drama
85,Romance
86,Action
86,Adventure
86,Drama
88,Comedy
94,Comedy
94,Drama
94,Romance
95,Action
95,Adventure
95,Thriller
97,Crime
97,Drama
99,Documentary
101,Adventure
101,Comedy
101,Crime
101,Romance
102,Comedy
104,Comedy
105,Drama
105,Romance
107,Adventure
107,Children
107,Comedy
107,Musical
110,Action
110,Drama
110,War
111,Crime
111,Drama
111,Thriller
112,Action
112,Adventure
112,Comedy
112,Crime
116,Documentary
123,Drama
123,Mystery
123,Romance
125,Comedy
135,Comedy
140,Drama
140,Romance
141,Comedy
145,Action
145,Comedy
145,Crime
145,Drama
145,Thriller
147,Drama
148,Drama
150,Adventure
150,Drama
150,IMAX
151,Action
151,Drama
151,Romance
151,War
153,Action
153,Adventure
153,Comedy
153,Crime
154,Drama
157,Comedy
157,War
158,Adventure
158,Children
160,Action
160,Adventure
160,Mystery
160,Sci-Fi
161,Drama
161,Thriller
161,War
162,Documentary
163,Action
163,Romance
163,Western
164,Crime
164,Film-Noir
164,Mystery
164,Thriller
165,Action
165,Crime
165,Thriller
168,Action
168,Drama
168,Romance
170,Action
170,Adventure
170,Crime
170,Thriller
171,Comedy
171,Drama
172,Action
172,Sci-Fi
172,Thriller
173,Action
173,Crime
173,Sci-Fi
174,Comedy
175,Drama
176,Comedy
180,Comedy
180,Romance
185,Action
185,Crime
185,Thriller
186,Comedy
186,Romance
187,Comedy
188,Fantasy
188,Horror
188,Mystery
190,Thriller
191,Drama
191,Romance
193,Drama
194,Comedy
194,Drama
195,Comedy
195,Drama
195,Romance
198,Action
198,Crime
198,Drama
198,Mystery
198,Sci-Fi
198,Thriller
199,Drama
199,Musical
199,Romance
203,Comedy
207,Drama
207,Romance
208,Action
208,Adventure
208,Sci-Fi
213,Drama
215,Drama
215,Romance
216,Comedy
217,Drama
217,Thriller
218,Comedy
218,Drama
222,Drama
222,Romance
223,Comedy
224,Comedy
224,Drama
224,Romance
225,Drama
225,Thriller
227,Action
227,Thriller
229,Drama
229,Thriller
230,Drama
230,Thriller
231,Adventure
231,Comedy
232,Comedy
232,Drama
232,Romance
235,Comedy
235,Drama
236,Action
236,Comedy
236,Romance
237,Comedy
237,Romance
238,Adventure
238,Children
246,Documentary
247,Crime
247,Drama
248,Comedy
249,Drama
249,Romance
252,Comedy
252,Romance
253,Drama
253,Horror
255,Comedy
256,Comedy
256,Sci-Fi
257,Mystery
257,Thriller
260,Action
260,Adventure
260,Sci-Fi
261,Drama
262,Children
262,Drama
265,Drama
265,Fantasy
265,Romance
266,Drama
266,Romance
266,War
266,Western
267,Comedy
270,Drama
270,Romance
271,Drama
272,Comedy
272,Drama
273,Drama
273,Horror
273,Sci-Fi
276,Comedy
276,Romance
277,Drama
280,Drama
280,Thriller
281,Comedy
281,Drama
281,Romance
282,Drama
283,Crime
283,Drama
288,Action
288,Crime
288,Thriller
289,Comedy
289,Romance
290,Crime
